objectid,title,creator,date,date-is-approximate?,Medium,description,identifier,dimensions,artist bio,artist quote,subject,location,latitude,longitude,source,type,language,rights,rightsstatement,display_template,object_location,image_alt_text,object_transcript,credit_line,Nationality,Period,parentid
acm_099,Red Yellow Blue,John Derby,,,Acrylic on canvas board,"Still life of a red kettle, a yellow fruit, and a blue-gray rectangular form arranged against a neutral ground.",ACM.2022.060,18 x 14 in.,,,Still lifes;Kettles;Fruit;Geometric forms,,,,,,,,,image,/objects/acm_099.png,,,,,,
acm_100,Blank Walls,John Derby,,,Oil on canvas board,View of low red-brick buildings partly screened by leafy trees and a broad green lawn.,ACM.2022.061,20 x 16 in.,,,Architecture;Buildings;Trees;Lawns;Landscapes,,,,,,,,,image,/objects/acm_100.png,,,,,,
acm_101,Potrait,,,,Oil on canvas board,Bust-length portrait of a woman wearing a red beret and a red-and-white garment against a loosely brushed blue-gray background.,ACM.2022.062,18 x 24 in.,,,Portraits;Women;Hats,,,,,,,,,image,/objects/acm_101.png,,,,,,
acm_102,Potrait,,,,Oil on canvas board,Bust-length portrait of a woman with short dark hair wearing a blue garment against a lavender-gray background.,ACM.2022.063,16 x 20 in.,,,Portraits;Women,,,,,,,,,image,/objects/acm_102.png,,,,,,
acm_103,Potrait,,,,Acrylic on wood board,"Bust-length portrait of a dark-haired woman in a multicolored garment, turned slightly to one side against a pale background.",ACM.2022.064,18 x 22 in.,,,Portraits;Women,,,,,,,,,image,/objects/acm_103.png,,,,,,
acm_104,Potrait,,,,Oil on wood board,Bust-length portrait of a woman with shoulder-length light brown hair wearing a sleeveless white top.,ACM.2022.065,20 x 24 in.,,,Portraits;Women,,,,,,,,,image,/objects/acm_104.png,,,,,,
acm_105,Blond in Lavender,John Derby Kohl,,,Oil on wood board,"Seated portrait of a blonde woman in a lavender blouse, shown with her hands folded in her lap.",ACM.2022.066,21 x 24 in.,,,Portraits;Women;Seated figures,,,,,,,,,image,/objects/acm_105.png,,,,,,
acm_106,Untitled,John Derby Kohl,,,Watercolor on paper,Watercolor view of an industrial complex with tall smokestacks or towers rising above low buildings and vegetation.,ACM.2022.067,18 x 22 in.,,,Industrial landscapes;Factories;Smokestacks;Architecture,,,,,,,,,image,/objects/acm_106.png,,,,,,
acm_107,Pat Fordyce,B A Dudley,1993,FALSE,Oil on canvas,Full-length formal portrait of a woman in a blue suit standing beside an ornate chair against a warm atmospheric background.,ACM.1993.001,48 x 40 in.,,,Portraits;Women;Standing figures;Formal dress,,,,,,,,,image,/objects/acm_107.png,,,,,,
acm_108,Thomas Gayle,,1926,FALSE,Oil on canvas,Bust-length formal portrait of a mustached man in a dark blue suit and tie against a pale blue-green background.,ACM.1926.001,16 x 20 in.,,,Portraits;Men;Formal dress,,,,,,,,,image,/objects/acm_108.png,,,,,,
acm_109,Yvette Sturgis,,,,Oil on canvas,Dense floral still life of multicolored blossoms arranged in a light-colored vase on a tabletop.,ACM.2022.068,24 x 30 in.,,,Still lifes;Flowers;Vases,,,,,,,,,image,/objects/acm_109.png,,,,,,
acm_110,Still Life with Brass Bowl,Doric Hakes,,,Oil on canvas,"Still life with a dark ceramic jar, a brass bowl, and several pieces of fruit arranged near a bright window.",ACM.2022.069,12 x 12 in.,,,Still lifes;Bowls;Jars;Fruit,,,,,,,,,image,/objects/acm_110.png,,,,,,
acm_111,Untitled,Effiar?,,,Oil on canvas,Street or storefront scene with several small figures gathered near an open doorway beneath a painted sign.,ACM.2022.070,24 x 22 in.,,,Street scenes;Storefronts;Figures;Buildings,,,,,,,,,image,/objects/acm_111.png,,,,,,
acm_112,Untitled,A. Seak,,,Watercolor on Paper,Watercolor view of sunlit stone steps or a terrace bordered by dense green foliage and a potted flowering plant.,ACM.2022.071,18 x 16 in.,,,Gardens;Steps;Plants;Flowers;Architecture,,,,,,,,,image,/objects/acm_112.png,,,,,,
acm_113,Italian Church II,Yvette Sturgis,,,Oil on canvas,Sunlit church or stone building with warm walls and a red roof rising among tall dark trees and dense vegetation.,ACM.2022.072,11 x 14 in.,,,Churches;Architecture;Trees;Landscapes,,,,,,,,,image,/objects/acm_113.png,,,,,,
acm_114,Abstract,Lisa Paris,,,Oil on Canvas,"Abstract composition of pale gray, cream, and blue washes punctuated by small passages of red, green, and dark pigment.",ACM.2022.073,24 x 18 in.,,,Abstract art;Color;Gestural abstraction,,,,,,,,,image,/objects/acm_114.png,,,,,,
acm_115,Spring,Andrew Bucci,1980,FALSE,,"Abstract composition built from short, repeated strokes of yellow, green, blue, lavender, and orange over a pale ground.",ACM.1980.001,36.5 x 48.5 in.,,,Abstract art;Color;Pattern;Spring,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_115.jpg,,,City of Jackson Permanent Collection,,,
acm_116,Not Gemini,Andrew Cary Young,2023,FALSE,Mixed Media on wood panel,"Two overlapping male heads shown in profile, one rendered in warm gray and the other in blue-gray against a black background.",ACM.2023.001,7 x 13 in.,,,Mixed Media on wood panel;Portraits;Men;Profiles;Double portraits,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_116.png,,,City of Jackson Permanent Collection,,,
acm_117,January Daffodils,Anne Enochs,,,Pastel,Still life of yellow daffodils arranged in a clear glass vase against a muted lavender-gray background.,ACM.2022.074,19.25 x 25.25 in.,,,Pastel;Still lifes;Daffodils;Flowers;Vases,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_117.png,,,City of Jackson Permanent Collection,,,
acm_118,Untitled,B. Dawson,,,,Expressive landscape of palm-like and succulent plants clustered among rocks beneath an intense orange sky.,ACM.2022.075,18 x 22 in.,,,Landscapes;Palm trees;Succulents;Rocks,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_118.png,,,City of Jackson Permanent Collection,,,
acm_120,Autumn,Clo Ann Rabb,,,Oil on rice paper,"Abstract field of layered orange, rust, brown, and ochre forms creating a mottled, organic surface.",ACM.2022.076,39.75 x 30.5 in.,,,Oil on rice paper;Abstract art;Color;Organic forms;Texture,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_120.png,,,City of Jackson Permanent Collection,,,
acm_121,Untitled,CS Cangston,2006,FALSE,,Stylized seated woman leaning against rounded patterned forms while a white-and-black cat walks across the foreground.,ACM.2006.001,24.75 x 20.75 in.,,,Women;Cats;Seated figures;Pattern,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_121.png,,,City of Jackson Permanent Collection,,,
acm_122,Untitled,E. Wolfe,1962,FALSE,,Loosely painted still life of fruit and elongated vessels or containers arranged within an angular interior setting.,ACM.1962.001,26 x 33.75 in.,,,Still lifes;Fruit;Vessels;Containers,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_122.png,,,City of Jackson Permanent Collection,,,
acm_123,The Woman who Fell to Earth,G.A. McCullough,2000,FALSE,Monotype,"Stylized female face framed by red and purple organic forms against a dark, block-patterned background.",ACM.2000.004,19.5 x 21.5 in.,,,Monotype;Women;Faces;Figurative art;Abstract art,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_123.png,,,City of Jackson Permanent Collection,,,
acm_124,Catfish,George Berry,,,Wood carving,"Carved wooden sculpture of a catfish with a broad head, fins, and long barbels.",ACM.2022.077,,,,Wood carving;Sculpture;Fish;Catfish,,,,Arts Center of Mississippi,artwork,English,,,record,,,,City of Jackson Permanent Collection,,,
acm_125,Two Egyptian Dancers,Gray Layton,,,Watercolor on paper,"Two stylized dancing figures constructed from overlapping patterned and geometric shapes in a pale, collage-like composition.",ACM.2022.078,21.5 x 29.5 in.,,,Watercolor on paper;Dancers;Figures;Geometric forms;Pattern,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_125.png,,,City of Jackson Permanent Collection,,,
acm_126,Ligon-Gale Home,H. Radcliffe,,,,,ACM.2022.079,18.125 x 15 in.,,,,,,,Arts Center of Mississippi,artwork,English,,,record,,,,City of Jackson Permanent Collection,,,
acm_127,Untitled,H.C. Wood,,,,"Brightly colored view of a red church and grounds with a roadside sign, trees, and small figures in the foreground.",ACM.2022.080,39 x 40.25 in.,,,Churches;Architecture;Signs;Figures;Landscapes,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_127.png,,,City of Jackson Permanent Collection,,,
acm_128,Eclipse,Janice Hughes,,,,Textured abstract image of a dark circular disk surrounded by a bright halo and radiating marks on a silvery-gray field.,ACM.2022.081,36 x 30 in.,,,Eclipses;Abstract art;Circles;Light,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_128.png,,,City of Jackson Permanent Collection,,,
acm_129,Sunflower River,Jean Oliver,,,,Watercolor landscape of a winding river bordered by dense green vegetation and low trees beneath a pale sky.,ACM.2022.082,18.125 x 22.125 in.,,,Landscapes;Rivers;Water;Trees,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_129.png,,,City of Jackson Permanent Collection,,,
acm_130,Untitled,Karl Wolfe,,,,"Still life with a large bouquet of yellow flowers, a small standing figurine, a book, and a piece of fruit.",ACM.2022.083,23 x 29 in.,,,Still lifes;Flowers;Figurines;Books;Fruit,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_130.png,,,City of Jackson Permanent Collection,,,
acm_131,Untitled,La RIta?,,,,Expressive bust-length portrait of a dark-skinned figure wearing a white sleeveless top against a blue and lavender background.,ACM.2022.084,32.75 x 41 in.,,,Portraits;Figures,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_131.png,,,City of Jackson Permanent Collection,,,
acm_132,Untitled,Lin Paris,,,,,ACM.2022.085,22 x 20 in.,,,,,,,Arts Center of Mississippi,artwork,English,,,record,,,,City of Jackson Permanent Collection,,,
acm_133,Untitled,Marie Hull,,,,"Landscape of slender trees beside a body of water, with small white sailboats visible in the distance.",ACM.2022.086,27.125 x 23.125 in.,,,Landscapes;Trees;Water;Sailboats,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_133.png,,,City of Jackson Permanent Collection,,,
acm_134,Ronald E. McNair,Marshall Bouldin III,1986,FALSE,oil on canvas,Portrait of astronaut Ronald E. McNair seated in a spacecraft cockpit wearing a light-colored flight suit.,ACM.1986.003,66.25 x 66.25 in.,,,oil on canvas;Portraits;Ronald E. McNair;Astronauts;Spaceflight,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_134.png,,,City of Jackson Permanent Collection,,,
acm_135,Progenation,Nate Theisen,2025,FALSE,"Plexiglass, LED spotlight",,ACM.2025.001,,,,"Plexiglass, LED spotlight",,,,Arts Center of Mississippi,artwork,English,,,record,,,,City of Jackson Permanent Collection,,,
acm_136,River Bluff at Vicksburg,Paul Campbell,May 1994,TRUE,,"Panoramic river landscape viewed from a high bluff, with a curving road or path descending through green terrain toward distant water.",ACM.1994.001,33.25 x 18.25 in.,,,Landscapes;Rivers;Bluffs;Roads;Vicksburg,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_136.png,,,City of Jackson Permanent Collection,,,
acm_137,untitled,Pickenpaugh Pottery,,,,"Small wheel-thrown ceramic vessel with a rounded body, narrow neck, and flared rim in layered gray and earth-toned glazes.",ACM.2022.087,,,,Ceramics;Vessels;Pottery,,,,Arts Center of Mississippi,artwork,English,,,record,,,,City of Jackson Permanent Collection,,,
acm_138,Untitled,R. Lee,1985,FALSE,,"Muted landscape of bare, twisting trees beside pale blue water, with ochre banks and distant green land.",ACM.1985.003,30.5 x 24.5 in.,,,Landscapes;Trees;Water;Riverbanks,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_138.png,,,City of Jackson Permanent Collection,,,
acm_139,Untitled,Rick Anderson,1989,FALSE,,"Expressive landscape with a small pink-roofed house near a branching road or stream beneath a broad, clouded sky.",ACM.1989.001,32.25 x 19.25 in.,,,Landscapes;Houses;Roads;Trees,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_139.png,,,City of Jackson Permanent Collection,,,
acm_140,Untitled,Robert O. Webber,1982,FALSE,,Quiet river landscape with a broad stretch of water bordered by a densely wooded bank under a pale sky.,ACM.1982.003,35.25 x 29 in.,,,Landscapes;Rivers;Water;Forests,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_140.png,,,City of Jackson Permanent Collection,,,
acm_141,There's Always Hope for Tomorrow Poster Design,Robin Martéa,2023,FALSE,"Gouache, watercolor, ink, and mixed media on paper","Poster design showing three figures looking at four colorful artworks featuring abstract shapes, flowers, landscape forms, and a radiant sun.",ACM.2023.003,17 x 21 in.,,,"Gouache, watercolor, ink, and mixed media on paper;Poster designs;Art exhibitions;Figures;Museums;Graphic design",,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_141.png,,,City of Jackson Permanent Collection,,,
acm_142,Untitled,Laurel Schoolar,,,,,ACM.2022.088,40 x 30 in.,,,2011,,,,Arts Center of Mississippi,artwork,English,,,record,,,,City of Jackson Permanent Collection,,,
acm_143,Untitled,Shor,1967,FALSE,,"Graphite or charcoal drawing of a man and woman in overlapping profile portraits, both facing left.",ACM.1967.001,17.25 x 21.25 in.,,,Portraits;Men;Women;Profiles;Drawing,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_143.png,,,City of Jackson Permanent Collection,,,
acm_144,The Answer Is...,SNAVÉ,2020,FALSE,Digital Photography,"Close-up photograph of rows of glass jars filled with dark amber-red contents, with strong reflections across the glass surfaces.",ACM.2020.001,18 x 22 in.,,,Digital Photography;Photography;Glass jars;Reflections;Still lifes,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_144.png,,,City of Jackson Permanent Collection,,,
acm_145,Captain Jackson Character Design,Stephen Butler (JXN Comics),2022,FALSE,Ink on Paper,Ink character design of a muscular male superhero standing frontally in a cape and fitted costume with a star emblem.,ACM.2022.089,8.5 x 11 in.,,,Ink on Paper;Character design;Superheroes;Men;Costumes;Comics,,,,Arts Center of Mississippi,artwork,English,,,record,/objects/acm_145.png,,,City of Jackson Permanent Collection,,,
acm_146,The Empty House,Vadah Cochran,,,,"Nighttime view into the illuminated doorway of a house, where a small solitary figure stands deep within the interior.",ACM.2022.090,27 x 32.5 in.,,,Houses;Doorways;Interiors;Figures;Night,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_146.png,,,City of Jackson Permanent Collection,,,
acm_147,Untitled,Yentz,,,,"Pen-and-ink portrait of a seated musician playing guitar, labeled 'Mississippi John Hurt,' against a densely hatched outdoor background.",ACM.2022.091,33.25 x 27.75 in.,,,Portraits;Mississippi John Hurt;Musicians;Guitars;Blues,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_147.png,,,City of Jackson Permanent Collection,,,
acm_148,King Remembered in Time,Adrienne Domnick,2017,FALSE,Acrylic on Canvas,"Graphic side-profile portrait of a Black man in a wide-brimmed hat, rendered in flat black and purple shapes against a lavender ground.",ACM.2017.002,30 x 40 in.,"Adrienne Domnick is a multidisciplinary artist from Mississippi whose work is an exploration of celebrating black culture. She is best known for her large-scale hard-edge portraits. Her creative path weaves narratives that honor the resilience and creativity of black heroes, aiming to inspire and deepen society’s understanding of their impact.","""It represents my art style and where I'm from""
  
 

  ""My work highlights significant points in black culture. I use portraiture as a way to identify our black heroes in music, art, and advocacy. Revealing themes of vulnerability, raw emotions, and identity. My work is an exploration of high contrast imagery and hard edge shapes on various surfaces. Redefining blank spaces by manipulating light and darkness with bold colors within my composition. """,Exhibition 2024;Acrylic on Canvas;Portraits;Men;Hats;Profiles;Graphic art,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_148.png,,"Artist Bio:
  Adrienne Domnick is a multidisciplinary artist from Mississippi whose work is an exploration of celebrating black culture. She is best known for her large-scale hard-edge portraits. Her creative path weaves narratives that honor the resilience and creativity of black heroes, aiming to inspire and deepen society’s understanding of their impact.
  
  
 

  Social / Website:
  Website: www.adriennedomnick.art 
  
  
 

  Instagram: adriennedomnick
  
  
 

  Exhibition Text:
  Since 2011, Adrienne Domnick has developed her artistic craft through a variety of mediums. As a multidisciplinary artist, Domnick creates work that responds to the social environment she grew up and lives in today. Inspired by the idea of the less focused “b-side” of records, this exhibition explores an ongoing journey and creative project that Domnick has worked on since the beginning of her artistic career. B SIDES serves as a cultural archive and music catalog delivered through a dynamic and bold series of paintings. This exhibition visually delivers a story of growth; growth of the artist and of the cultural impact of the musical artists featured. Domnick’s large scale paintings elevate her subjects to a larger than life status, lifting up the subject and memorializing these artists’ legacy and influence on the world around them. As a self described archivist, Domnick draws from an extensive record of music, books, and fashion when creating her art; striving to document and preserve Black culture in all of her work.",City of Jackson Permanent Collection,,,
acm_150,FVLLING,Fooly,2023,FALSE,Acrylic on canvas,Grayscale figure shown falling backward through a dark circular or spiraling field.,ACM.2023.005,48 x 30 in.,"Tyler Goliday is an artist from Starkville, Mississippi, known for his portraits in acrylic paint. His mastery of grisaille brings his subjects to the forefront, commanding attention against the vibrantly colored or intricately patterned backgrounds that define his pieces. Goliday's talent has been recognized in several prestigious venues. His debut was marked by his participation in the Municipal Art Gallery's (Re)mediation show, in Jackson, Mississippi. Further establishing his place in the art community, Goliday's work was featured on the cover of Jackson State University's Journal of Art and Theatre, and he has also been a notable participant in The Mashup, a platform for young, Black creatives in Mississippi. Additionally, his art was selected for exhibition at the Mississippi Museum of Art in Jackosn, showasing his growing influence and broad appeal of his work.","VLLING examines the themes of chaos and control, disorientation, and the human instinct to grasp for stability. The subject is captured in mid-fall, surrounded by a swirling vortex of sharp, jagged patterns that evoke a sense of spiraling descent. The grayscale subject, dressed in casual contemporary attire, reaches out against the oppressive black and white maelstrom, providing a stark contrast to the tumultuous backdrop.
  
 

  The feeling of movement is palpable, drawing the viewer into the unsettling experience of losing one's footing. The artwork is a masterful depiction of the sudden shifts that can occur in life's trajectory, the unpredictable moments that upend balance and certainty. Goliday's use of perspective and the illusion of depth creates a realistic sensation of falling, inviting empathy and reflection on the viewer's own experiences with upheaval and the fight for composure amidst life's challenges.",Exhibition 2024;Acrylic on canvas;Figures;Falling;Spirals;Contemporary art,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_150.png,,"Artist Bio:
  Tyler Goliday is an artist from Starkville, Mississippi, known for his portraits in acrylic paint. His mastery of grisaille brings his subjects to the forefront, commanding attention against the vibrantly colored or intricately patterned backgrounds that define his pieces. Goliday's talent has been recognized in several prestigious venues. His debut was marked by his participation in the Municipal Art Gallery's (Re)mediation show, in Jackson, Mississippi. Further establishing his place in the art community, Goliday's work was featured on the cover of Jackson State University's Journal of Art and Theatre, and he has also been a notable participant in The Mashup, a platform for young, Black creatives in Mississippi. Additionally, his art was selected for exhibition at the Mississippi Museum of Art in Jackosn, showasing his growing influence and broad appeal of his work.
  
  
 

  Social / Website:
  Insta: fooly.444
  
  
 

  Exhibition Text:
  Original Label:
  FVLLING is a dynamic and evocative painting that delves into the themes of chaos and control, disorientation, and the human instinct to grasp for stability. The subject is captured in mid-fall, surrounded by a swirling vortext of sharp, jagged patterns that evoke a sense of spiraling descent. The grayscale sujet, dressed in casual contemporary attire, reaches out against the oppressive black and white maelstrom, providing a stark contrast to the tumultuous backdrop. The feeling of movement is palpable, drawing the viewer into the unsettling experience of losing one's footing. The artwork is a masterful depiction of the sudden shifts that can occur in life's trajectory. The unpredictable moments that upend balance and certainty. Fooly's use of perspective and the illusion of depth that creates a realistic sensation of falling, inviting empathy and reflection on the viewer's own experiences with upheaval and the fight for composure amidst life's challenges.",City of Jackson Permanent Collection,,,
acm_151,distørtiøn2,JBUCK,2023,FALSE,Acrylic and tempera on canvas,"Highly expressive composition of red, orange, black, and purple forms suggesting a distorted figure or creature with elongated limbs.",ACM.2023.006,20 x 20 in.,,,Exhibition 2024;Acrylic and tempera on canvas;Abstract art;Figures;Distortion;Expressionism,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_151.png,,"Social / Website:
  Insta: jbuck.the.artist",City of Jackson Permanent Collection,,,
acm_153,Wind over Water,Lucie Wren Cooper,2024,FALSE,Ink pen on paper,Abstract drawing of layered teal and blue-green wave-like forms flowing across a pale ground.,ACM.2024.001,12 x 10 in.,"Lucie Wren Cooper is a Jackson, MS native seeking solace in the beauty of her surroundings. After attending the MS School of the Arts in 2019, she began diving into solo studio work and pursuing a life dedicated to storytelling through imagery and music as well as learning the intricate craft of stained glass. Her practice revolves around the admiration of simple beauty, nature, the mundane, dreams, and nostalgia. Lucie’s paintings manifest in a fairly nonobjective way, but are always tied to memories of places, people, and light through use of acrylic on water soaked raw canvas and oil paints.",,Exhibition 2024;Ink pen on paper;Abstract art;Water;Waves;Organic forms,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_153.png,,"Artist Bio:
  Lucie Wren Cooper is a Jackson, MS native seeking solace in the beauty of her surroundings. After attending the MS School of the Arts in 2019, she began diving into solo studio work and pursuing a life dedicated to storytelling through imagery and music as well as learning the intricate craft of stained glass. Her practice revolves around the admiration of simple beauty, nature, the mundane, dreams, and nostalgia. Lucie’s paintings manifest in a fairly nonobjective way, but are always tied to memories of places, people, and light through use of acrylic on water soaked raw canvas and oil paints.
  
  
 

  Social / Website:
  Insta: luciewrencooper",City of Jackson Permanent Collection,,,
acm_154,"Crepe Myrtle, Laurel St Park (Summer 2024)",Victoria Meek,2024,FALSE,Oil on canvas,Close view of a grove of crepe myrtle trees with vivid orange-red trunks surrounded by dense green foliage.,ACM.2024.002,11.5 x 14.5 in.,"Victoria Meek was raised in Meridian, Mississippi and has been based in Jackson since 2017. She received a B.F.A. in Painting & Drawing from the University of Southern Mississippi. And an M.A. in Museum Studies from New York University. Victoria has been in group exhibitions at Peter Freeman, Inc, New York; Pearl River Glass Studio; and Millsaps College. “Trees” is her first solo show. This Municipal Art Gallery exhibition focuses on drawings & paintings of trees or things in relationship with them. Much of the work was made between 2023-24, a period Victoria dedicated to observing and imagining trees in Jackson.","""It's a tree from a lovely park in the city.""",Exhibition 2024;Oil on canvas;Landscapes;Crepe myrtles;Trees;Parks,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_154.png,,"Artist Bio:
  Victoria Meek was raised in Meridian, Mississippi and has been based in Jackson since 2017. She received a B.F.A. in Painting & Drawing from the University of Southern Mississippi. And an M.A. in Museum Studies from New York University. Victoria has been in group exhibitions at Peter Freeman, Inc, New York; Pearl River Glass Studio; and Millsaps College. “Trees” is her first solo show. This Municipal Art Gallery exhibition focuses on drawings & paintings of trees or things in relationship with them. Much of the work was made between 2023-24, a period Victoria dedicated to observing and imagining trees in Jackson.
  
  
 

  Social / Website:
  instagram: v.r.meek
  
  
 

  Exhibition Text:
  Trees is a focused exploration of the natural environment of central Mississippi through the eyes of Victoria Meek. Finding peace and restoration in nature is key to Meek’s practice; working in Jackson, Mississippi, Meek observes her surrounding environment with a keen interest in the accessibility of trees and their reliable presence as subjects for her work. When selecting a model Meek considers details such as the sway and movement of the tree, seeing them as dancers with their own sense of identity and drama. In addition to the natural world Meek is inspired by tradition defying artists such as Edouard Manet and Pierre Bonnard and like them Meek works en plein air observing her environment. Meek also finds inspiration in contemporary artists such as Jennifer Packer whose intentional incompleteness in her work aligns with Meek’s priority of creative process over the finished product in her artistic practice. In this exhibition Meek presents a collection of recent oil paintings, watercolors, and pencil drawings which despite the traditional medium explore her natural surroundings through a uniquely personal viewpoint.",City of Jackson Permanent Collection,,,
acm_155,Channel 3 (graphics on tv),Brenden Davis,2023,FALSE,"mixed media, acrylic, oil pastel, and graphite on wood board","Layered mixed-media composition with a bent human figure, screen-like rectangular forms, drawing, and overlapping red, green, and black marks.",ACM.2023.007,24 x 36.5 in.,"Brenden Davis (b. 1997) is a multidisciplinary artist based in Jackson, Mississippi, working across painting, graphic design, and animation. Davis explores surrealism, abstraction, and interpersonal experience, focusing on self-perception and social dynamics. Drawing from personal history and cultural influences, they create abstract figures and dreamlike landscapes that challenge societal narratives and invite viewers into alternate realities. Through their work, Davis seeks to captivate, provoke reflection, and foster meaningful dialogue.","This piece was created during my time working as a graphic artist at WLBT 3 News, one of central Mississippi's most iconic media institutions. Channel 3 (graphics on tv) captures a moment of lived experience shaped by the unique intersections of creative labor, media production, and Southern identity. It also contributes to the preservation of local narratives and honors the creative workers behind the scenes of Mississippi’s creative media landscape.
  
 

  Created during my time as a graphic artist for WLBT 3 News, Channel 3 (graphics on tv) is a layered meditation on media labor, digital overload, and representation. A hunched figure stretches toward a laptop, surrounded by fragments of broadcast graphics, color marks, and overlapping forms. Elements of television production, such as the “title safe” overlay used to frame on-screen content, are repurposed as visual motifs that underscore the tension between clarity and constraint. The piece reflects on the often-invisible labor behind what becomes visible.","Exhibition 2025;mixed media, acrylic, oil pastel, and graphite on wood board;Mixed media;Figures;Television;Screens;Contemporary art",,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_155.png,,"Artist Bio:
  Brenden Davis (b. 1997) is a multidisciplinary artist based in Jackson, Mississippi, working across painting, graphic design, and animation. Davis explores surrealism, abstraction, and interpersonal experience, focusing on self-perception and social dynamics. Drawing from personal history and cultural influences, they create abstract figures and dreamlike landscapes that challenge societal narratives and invite viewers into alternate realities. Through their work, Davis seeks to captivate, provoke reflection, and foster meaningful dialogue.
  
  
 

  Social / Website:
  brendendavis.com
  
  
 

  Exhibition Text:
  Memory Corrupted: An Exploration of Time and Perception offers a carefully curated time capsule representing snapshots of artist Brenden Davis’ life experiences. Inspired by the way memories blur and reshape as time moves forward, Davis challenges expectation and creates complex visual narratives that breathe new life into traditional surrealist motifs. In these works Davis studies time and how his perception of the world around him has changed over the past eight years of his life. As an artist working with many mediums–including paint, clay, paper, and digital media–Davis is able to literally cut up and rearrange these visual representations of his memories and experiences to create a new, distorted interpretation of his journey through life. The vivid colors, chaotic style, and surreal nature of Davis’ work creates an opportunity for the viewer to find personal connections within the imagery despite the deeply personal nature of this archive.",City of Jackson Permanent Collection,,,
